"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","2,887.32","2,850.93","2,894.98","2,837.47","","1.36%"
"03/28/2025","2,848.68","2,828.28","2,861.54","2,826.75","","0.68%"
"03/27/2025","2,829.57","2,807.79","2,836.79","2,805.79","","0.79%"
"03/26/2025","2,807.30","2,798.57","2,810.87","2,790.99","","0.36%"
"03/25/2025","2,797.16","2,787.18","2,808.99","2,785.22","","0.37%"
"03/24/2025","2,786.91","2,797.76","2,802.73","2,780.48","","-0.31%"
"03/21/2025","2,795.50","2,805.77","2,807.51","2,769.47","","-0.34%"
"03/20/2025","2,805.15","2,795.45","2,810.02","2,789.81","","0.37%"
"03/19/2025","2,794.70","2,772.93","2,798.52","2,768.05","","0.82%"
"03/18/2025","2,772.04","2,746.86","2,784.10","2,745.80","","0.95%"
"03/17/2025","2,746.01","2,744.07","2,752.96","2,738.64","","0.13%"
"03/14/2025","2,742.55","2,753.00","2,766.22","2,736.37","","-0.40%"
"03/13/2025","2,753.58","2,696.22","2,755.10","2,692.94","","2.21%"
"03/12/2025","2,693.99","2,670.23","2,698.04","2,667.37","","0.92%"
"03/11/2025","2,669.50","2,663.38","2,679.43","2,655.67","","0.18%"
"03/10/2025","2,664.79","2,687.31","2,691.61","2,658.36","","-0.83%"
"03/07/2025","2,687.11","2,699.36","2,701.51","2,671.90","","-0.47%"
"03/06/2025","2,699.88","2,705.55","2,709.18","2,676.17","","-0.17%"
"03/05/2025","2,704.35","2,745.53","2,748.84","2,699.78","","-1.46%"
"03/04/2025","2,744.45","2,758.57","2,778.54","2,742.11","","-0.45%"
"03/03/2025","2,756.73","2,753.44","2,764.58","2,739.96","","0.08%"
"02/28/2025","2,754.60","2,766.93","2,774.31","2,720.14","","-0.40%"
"02/27/2025","2,765.61","2,781.95","2,785.88","2,745.26","","-0.55%"
"02/26/2025","2,781.01","2,771.68","2,785.50","2,755.88","","0.36%"
"02/25/2025","2,771.11","2,821.09","2,823.43","2,751.71","","-1.75%"
"02/24/2025","2,820.49","2,798.44","2,824.69","2,779.43","","0.48%"
"02/21/2025","2,806.91","2,799.00","2,814.46","2,784.12","","0.31%"
"02/20/2025","2,798.17","2,814.48","2,833.02","2,795.22","","-0.56%"
"02/19/2025","2,814.02","2,809.84","2,826.97","2,797.83","","0.18%"
"02/18/2025","2,809.01","2,764.02","2,812.44","2,763.21","","1.65%"
"02/17/2025","2,763.36","2,749.20","2,774.22","2,743.72","","0.59%"
"02/14/2025","2,747.27","2,798.06","2,808.06","2,740.67","","-1.80%"
"02/13/2025","2,797.56","2,797.09","2,812.13","2,790.85","","0.03%"
"02/12/2025","2,796.72","2,796.66","2,800.50","2,766.39","","0.03%"
"02/11/2025","2,795.75","2,820.61","2,857.53","2,791.83","","-0.89%"
"02/10/2025","2,820.80","2,771.48","2,823.60","2,771.48","","1.83%"
"02/07/2025","2,770.19","2,750.90","2,791.42","2,748.79","","0.73%"
"02/06/2025","2,750.10","2,755.83","2,771.24","2,732.57","","-0.20%"
"02/05/2025","2,755.50","2,737.13","2,765.47","2,735.69","","0.64%"
"02/04/2025","2,738.11","2,721.96","2,746.84","2,717.32","","0.64%"
"02/03/2025","2,720.70","2,722.76","2,762.78","2,711.43","","0.68%"
"01/31/2025","2,702.36","2,690.19","2,717.73","2,685.25","","0.48%"
"01/30/2025","2,689.49","2,647.98","2,692.59","2,645.53","","1.57%"
"01/29/2025","2,647.87","2,649.61","2,657.05","2,637.49","","-0.03%"
"01/28/2025","2,648.67","2,612.09","2,651.73","2,610.51","","1.47%"
"01/27/2025","2,610.17","2,642.94","2,647.11","2,603.28","","-1.15%"
"01/24/2025","2,640.54","2,645.13","2,660.49","2,634.30","","-0.13%"
"01/23/2025","2,643.88","2,648.02","2,650.41","2,627.15","","-0.17%"
"01/22/2025","2,648.29","2,631.83","2,649.95","2,629.65","","0.61%"
"01/21/2025","2,632.11","2,600.52","2,638.69","2,596.68","","1.25%"
"01/20/2025","2,599.59","2,629.36","2,633.97","2,595.62","","-1.16%"
"01/17/2025","2,630.01","2,636.74","2,641.59","2,623.29","","-0.20%"
"01/16/2025","2,635.31","2,621.49","2,646.17","2,615.21","","0.56%"
"01/15/2025","2,620.66","2,597.60","2,621.33","2,591.18","","0.92%"
"01/14/2025","2,596.66","2,599.05","2,610.13","2,589.86","","-0.04%"
"01/13/2025","2,597.57","2,626.59","2,638.19","2,598.47","","-1.04%"
"01/10/2025","2,624.95","2,592.30","2,634.73","2,586.57","","1.31%"
"01/09/2025","2,591.08","2,580.02","2,597.67","2,574.38","","0.47%"
"01/08/2025","2,578.98","2,561.76","2,591.95","2,555.48","","0.69%"
"01/07/2025","2,561.43","2,537.42","2,564.31","2,530.96","","0.96%"
"01/06/2025","2,537.12","2,561.87","2,568.19","2,517.43","","-0.89%"
"01/03/2025","2,560.02","2,589.35","2,595.39","2,557.90","","-1.12%"
"01/02/2025","2,588.93","2,535.01","2,596.38","2,533.03","","2.20%"
"01/01/2025","2,533.13","2,535.02","2,535.88","2,533.43","","-0.04%"
"12/31/2024","2,534.10","2,504.43","2,538.80","2,500.99","","1.19%"
"12/30/2024","2,504.26","2,511.55","2,521.76","2,499.47","","-0.32%"
"12/27/2024","2,512.23","2,526.15","2,534.94","2,503.37","","-0.52%"
"12/26/2024","2,525.47","2,512.90","2,535.50","2,511.93","","0.58%"
"12/25/2024","2,511.00","2,513.86","2,514.10","2,509.76","","-0.08%"
"12/24/2024","2,512.93","2,511.12","2,522.43","2,507.56","","0.11%"
"12/23/2024","2,510.07","2,514.52","2,528.87","2,506.95","","-0.10%"
"12/20/2024","2,512.50","2,503.20","2,531.42","2,498.80","","0.39%"
"12/19/2024","2,502.62","2,497.10","2,523.63","2,488.97","","0.23%"
"12/18/2024","2,496.88","2,522.07","2,526.01","2,495.03","","-0.95%"
"12/17/2024","2,520.92","2,524.30","2,530.34","2,505.55","","-0.06%"
"12/16/2024","2,522.51","2,523.41","2,540.46","2,513.17","","0.03%"
"12/13/2024","2,521.81","2,561.32","2,572.95","2,520.63","","-1.51%"
"12/12/2024","2,560.39","2,588.43","2,595.13","2,549.92","","-1.05%"
"12/11/2024","2,587.63","2,557.76","2,593.17","2,541.41","","1.20%"
"12/10/2024","2,556.97","2,520.69","2,565.21","2,517.89","","1.49%"
"12/09/2024","2,519.39","2,492.58","2,531.58","2,488.73","","1.15%"
"12/06/2024","2,490.69","2,486.07","2,502.01","2,470.80","","0.24%"
"12/05/2024","2,484.78","2,521.23","2,522.85","2,482.20","","-1.42%"
"12/04/2024","2,520.56","2,515.22","2,530.18","2,509.98","","0.23%"
"12/03/2024","2,514.85","2,513.84","2,527.01","2,507.79","","0.09%"
"12/02/2024","2,512.65","2,509.05","2,529.72","2,490.96","","0.16%"
"11/29/2024","2,508.55","2,502.40","2,525.73","2,493.84","","0.28%"
"11/28/2024","2,501.62","2,496.57","2,514.52","2,482.99","","0.22%"
"11/27/2024","2,496.01","2,510.70","2,526.97","2,492.46","","-0.56%"
"11/26/2024","2,510.10","2,499.14","2,518.07","2,487.55","","0.45%"
"11/25/2024","2,498.77","2,591.04","2,596.32","2,491.81","","-4.00%"
"11/22/2024","2,602.75","2,547.14","2,607.26","2,546.52","","2.25%"
"11/21/2024","2,545.58","2,512.78","2,551.42","2,511.45","","1.28%"
"11/20/2024","2,513.45","2,483.97","2,523.17","2,476.55","","1.21%"
"11/19/2024","2,483.39","2,463.91","2,499.32","2,463.03","","0.82%"
"11/18/2024","2,463.14","2,431.50","2,474.38","2,431.16","","1.38%"
"11/15/2024","2,429.53","2,435.57","2,446.22","2,424.55","","-0.21%"
"11/14/2024","2,434.61","2,435.29","2,444.63","2,411.62","","-0.01%"
"11/13/2024","2,434.93","2,446.06","2,463.88","2,435.06","","-0.43%"
"11/12/2024","2,445.41","2,457.64","2,465.71","2,437.50","","-0.43%"
"11/11/2024","2,456.06","2,505.15","2,508.17","2,451.41","","-1.90%"
"11/08/2024","2,503.75","2,504.13","2,514.26","2,487.30","","0.00%"
"11/07/2024","2,503.67","2,478.42","2,508.17","2,466.29","","1.05%"
"11/06/2024","2,477.72","2,510.35","2,552.55","2,477.05","","-1.28%"
"11/05/2024","2,509.84","2,515.05","2,521.54","2,505.15","","-0.19%"
"11/04/2024","2,514.59","2,516.70","2,520.73","2,508.10","","-0.43%"
"11/01/2024","2,525.37","2,520.54","2,539.51","2,519.69","","0.17%"
"10/31/2024","2,520.98","2,567.62","2,570.79","2,516.15","","-1.80%"
"10/30/2024","2,567.21","2,565.20","2,578.18","2,554.13","","0.11%"
"10/29/2024","2,564.43","2,536.39","2,567.85","2,533.52","","1.13%"
"10/28/2024","2,535.87","2,545.11","2,547.35","2,522.30","","-0.35%"
"10/25/2024","2,544.87","2,527.19","2,545.70","2,509.57","","0.75%"
"10/24/2024","2,525.81","2,518.47","2,540.65","2,517.89","","0.35%"
"10/23/2024","2,516.96","2,545.42","2,558.49","2,512.02","","-1.09%"
"10/22/2024","2,544.75","2,514.94","2,546.66","2,513.55","","1.23%"
"10/21/2024","2,513.83","2,505.70","2,526.34","2,502.59","","0.39%"
"10/18/2024","2,504.08","2,486.26","2,505.41","2,484.64","","0.73%"
"10/17/2024","2,485.81","2,460.00","2,491.47","2,459.45","","1.08%"
"10/16/2024","2,459.36","2,444.82","2,465.97","2,442.62","","0.65%"
"10/15/2024","2,443.45","2,428.19","2,449.14","2,422.71","","0.65%"
"10/14/2024","2,427.60","2,430.48","2,440.35","2,419.67","","-0.02%"
"10/11/2024","2,427.99","2,404.28","2,431.56","2,403.01","","1.03%"
"10/10/2024","2,403.35","2,383.86","2,408.31","2,380.98","","0.83%"
"10/09/2024","2,383.66","2,387.72","2,393.57","2,378.51","","-0.13%"
"10/08/2024","2,386.87","2,407.83","2,415.85","2,374.86","","-0.84%"
"10/07/2024","2,406.98","2,417.54","2,425.69","2,402.73","","-0.41%"
"10/04/2024","2,416.87","2,407.31","2,434.48","2,401.56","","0.41%"
"10/03/2024","2,407.03","2,407.35","2,413.18","2,391.97","","0.04%"
"10/02/2024","2,406.00","2,406.58","2,409.32","2,389.96","","0.04%"
"10/01/2024","2,405.12","2,366.25","2,419.61","2,363.67","","1.66%"
"09/30/2024","2,365.84","2,382.26","2,387.85","2,354.05","","-0.63%"
"09/27/2024","2,380.84","2,391.19","2,396.42","2,367.54","","-0.42%"
"09/26/2024","2,390.77","2,386.85","2,407.73","2,383.49","","0.19%"
"09/25/2024","2,386.30","2,376.85","2,391.85","2,368.85","","0.43%"
"09/24/2024","2,376.06","2,365.41","2,384.43","2,355.72","","0.50%"
"09/23/2024","2,364.18","2,349.15","2,367.41","2,344.46","","0.66%"
"09/20/2024","2,348.79","2,317.49","2,351.96","2,315.99","","1.37%"
"09/19/2024","2,317.09","2,301.57","2,325.35","2,298.21","","0.69%"
"09/18/2024","2,301.20","2,312.08","2,325.62","2,294.43","","-0.45%"
"09/17/2024","2,311.69","2,318.78","2,325.72","2,303.34","","-0.29%"
"09/16/2024","2,318.51","2,326.71","2,334.90","2,314.89","","-0.37%"
"09/13/2024","2,327.05","2,310.61","2,333.41","2,307.46","","0.73%"
"09/12/2024","2,310.17","2,280.75","2,315.00","2,279.52","","1.30%"
"09/11/2024","2,280.42","2,283.99","2,290.71","2,272.29","","-0.10%"
"09/10/2024","2,282.65","2,271.17","2,284.59","2,265.36","","0.56%"
"09/09/2024","2,270.03","2,253.59","2,271.92","2,245.76","","0.79%"
"09/06/2024","2,252.21","2,265.43","2,270.84","2,243.80","","-0.56%"
"09/05/2024","2,264.90","2,251.67","2,272.82","2,250.56","","0.61%"
"09/04/2024","2,251.22","2,257.48","2,258.82","2,236.43","","-0.22%"
"09/03/2024","2,256.24","2,258.15","2,270.15","2,239.13","","-0.04%"
"09/02/2024","2,257.10","2,266.10","2,267.94","2,253.21","","-0.38%"
"08/30/2024","2,265.60","2,276.44","2,280.13","2,257.41","","-0.45%"
"08/29/2024","2,275.86","2,250.42","2,281.77","2,250.07","","1.06%"
"08/28/2024","2,251.90","2,257.32","2,261.29","2,245.24","","-0.18%"
"08/27/2024","2,256.01","2,256.86","2,258.55","2,242.36","","0.01%"
"08/26/2024","2,255.76","2,244.88","2,264.99","2,242.06","","0.51%"
